"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.168.1.44","10.10.10.38","UDP","214",""
"2","0.020185","172.168.1.44","10.10.10.38","UDP","214",""
"3","0.040379","172.168.1.44","10.10.10.38","UDP","214",""
"4","0.060614","172.168.1.44","10.10.10.38","UDP","214",""
"5","0.080829","172.168.1.44","10.10.10.38","UDP","214",""
"6","0.101113","172.168.1.44","10.10.10.38","UDP","214",""
"7","0.121375","172.168.1.44","10.10.10.38","UDP","214",""
"8","0.141682","172.168.1.44","10.10.10.38","UDP","214",""
"9","0.161960","172.168.1.44","10.10.10.38","UDP","214",""
"10","0.182192","172.168.1.44","10.10.10.38","UDP","214",""
"11","0.202444","172.168.1.44","10.10.10.38","UDP","214",""
"12","0.222666","172.168.1.44","10.10.10.38","UDP","214",""
"13","0.242958","172.168.1.44","10.10.10.38","UDP","214",""
"14","0.263183","172.168.1.44","10.10.10.38","UDP","214",""
"15","0.283388","172.168.1.44","10.10.10.38","UDP","214",""
"16","0.303612","172.168.1.44","10.10.10.38","UDP","214",""
"17","0.323846","172.168.1.44","10.10.10.38","UDP","214",""
"18","0.344043","172.168.1.44","10.10.10.38","UDP","214",""
"19","0.364270","172.168.1.44","10.10.10.38","UDP","214",""
"20","0.384472","172.168.1.44","10.10.10.38","UDP","214",""
"21","0.404741","172.168.1.44","10.10.10.38","UDP","214",""
"22","0.424955","172.168.1.44","10.10.10.38","UDP","214",""
"23","0.445159","172.168.1.44","10.10.10.38","UDP","214",""
"24","0.465367","172.168.1.44","10.10.10.38","UDP","214",""
"25","0.485580","172.168.1.44","10.10.10.38","UDP","214",""
"26","0.505812","172.168.1.44","10.10.10.38","UDP","214",""
"27","0.526017","172.168.1.44","10.10.10.38","UDP","214",""
"28","0.546219","172.168.1.44","10.10.10.38","UDP","214",""
"29","0.566434","172.168.1.44","10.10.10.38","UDP","214",""
"30","0.586699","172.168.1.44","10.10.10.38","UDP","214",""
"31","0.606927","172.168.1.44","10.10.10.38","UDP","214",""
"32","0.627177","172.168.1.44","10.10.10.38","UDP","214",""
"33","0.647372","172.168.1.44","10.10.10.38","UDP","214",""
"34","0.667624","172.168.1.44","10.10.10.38","UDP","214",""
"35","0.687879","172.168.1.44","10.10.10.38","UDP","214",""
"36","0.708186","172.168.1.44","10.10.10.38","UDP","214",""
"37","0.728464","172.168.1.44","10.10.10.38","UDP","214",""
"38","0.748729","172.168.1.44","10.10.10.38","UDP","214",""
"39","0.768926","172.168.1.44","10.10.10.38","UDP","214",""
"40","0.789158","172.168.1.44","10.10.10.38","UDP","214",""
"41","0.809374","172.168.1.44","10.10.10.38","UDP","214",""
"42","0.829577","172.168.1.44","10.10.10.38","UDP","214",""
"43","0.849829","172.168.1.44","10.10.10.38","UDP","214",""
"44","0.870095","172.168.1.44","10.10.10.38","UDP","214",""
"45","0.890312","172.168.1.44","10.10.10.38","UDP","214",""
"46","0.910566","172.168.1.44","10.10.10.38","UDP","214",""
"47","0.930817","172.168.1.44","10.10.10.38","UDP","214",""
"48","0.951085","172.168.1.44","10.10.10.38","UDP","214",""
"49","0.971326","172.168.1.44","10.10.10.38","UDP","214",""
"50","0.991551","172.168.1.44","10.10.10.38","UDP","214",""
"51","1.011818","172.168.1.44","10.10.10.38","UDP","214",""
"52","1.032034","172.168.1.44","10.10.10.38","UDP","214",""
"53","1.052247","172.168.1.44","10.10.10.38","UDP","214",""
"54","1.072528","172.168.1.44","10.10.10.38","UDP","214",""
"55","1.092804","172.168.1.44","10.10.10.38","UDP","214",""
"56","1.113088","172.168.1.44","10.10.10.38","UDP","214",""
"57","1.133351","172.168.1.44","10.10.10.38","UDP","214",""
"58","1.153595","172.168.1.44","10.10.10.38","UDP","214",""
"59","1.173856","172.168.1.44","10.10.10.38","UDP","214",""
"60","1.194062","172.168.1.44","10.10.10.38","UDP","214",""
"61","1.214300","172.168.1.44","10.10.10.38","UDP","214",""
"62","1.234541","172.168.1.44","10.10.10.38","UDP","214",""
"63","1.254755","172.168.1.44","10.10.10.38","UDP","214",""
"64","1.275005","172.168.1.44","10.10.10.38","UDP","214",""
"65","1.295260","172.168.1.44","10.10.10.38","UDP","214",""
"66","1.315546","172.168.1.44","10.10.10.38","UDP","214",""
"67","1.335838","172.168.1.44","10.10.10.38","UDP","214",""
"68","1.356125","172.168.1.44","10.10.10.38","UDP","214",""
"69","1.376355","172.168.1.44","10.10.10.38","UDP","214",""
"70","1.396617","172.168.1.44","10.10.10.38","UDP","214",""
"71","1.416864","172.168.1.44","10.10.10.38","UDP","214",""
"72","1.437126","172.168.1.44","10.10.10.38","UDP","214",""
"73","1.457389","172.168.1.44","10.10.10.38","UDP","214",""
"74","1.477619","172.168.1.44","10.10.10.38","UDP","214",""
"75","1.497900","172.168.1.44","10.10.10.38","UDP","214",""
"76","1.518130","172.168.1.44","10.10.10.38","UDP","214",""
"77","1.538363","172.168.1.44","10.10.10.38","UDP","214",""
"78","1.558617","172.168.1.44","10.10.10.38","UDP","214",""
"79","1.578905","172.168.1.44","10.10.10.38","UDP","214",""
"80","1.599212","172.168.1.44","10.10.10.38","UDP","214",""
"81","1.619487","172.168.1.44","10.10.10.38","UDP","214",""
"82","1.639800","172.168.1.44","10.10.10.38","UDP","214",""
"83","1.660091","172.168.1.44","10.10.10.38","UDP","214",""
"84","1.680403","172.168.1.44","10.10.10.38","UDP","214",""
"85","1.700641","172.168.1.44","10.10.10.38","UDP","214",""
"86","1.720921","172.168.1.44","10.10.10.38","UDP","214",""
"87","1.741195","172.168.1.44","10.10.10.38","UDP","214",""
"88","1.761437","172.168.1.44","10.10.10.38","UDP","214",""
"89","1.781722","172.168.1.44","10.10.10.38","UDP","214",""
"90","1.801960","172.168.1.44","10.10.10.38","UDP","214",""
"91","1.822220","172.168.1.44","10.10.10.38","UDP","214",""
"92","1.842490","172.168.1.44","10.10.10.38","UDP","214",""
"93","1.862763","172.168.1.44","10.10.10.38","UDP","214",""
"94","1.883019","172.168.1.44","10.10.10.38","UDP","214",""
"95","1.903281","172.168.1.44","10.10.10.38","UDP","214",""
"96","1.923511","172.168.1.44","10.10.10.38","UDP","214",""
"97","1.943724","172.168.1.44","10.10.10.38","UDP","214",""
"98","1.964000","172.168.1.44","10.10.10.38","UDP","214",""
"99","1.984283","172.168.1.44","10.10.10.38","UDP","214",""
"100","2.004519","172.168.1.44","10.10.10.38","UDP","214",""
"101","2.024728","172.168.1.44","10.10.10.38","UDP","214",""
"102","2.044906","172.168.1.44","10.10.10.38","UDP","214",""
"103","2.065099","172.168.1.44","10.10.10.38","UDP","214",""
"104","2.085303","172.168.1.44","10.10.10.38","UDP","214",""
"105","2.105512","172.168.1.44","10.10.10.38","UDP","214",""
"106","2.125727","172.168.1.44","10.10.10.38","UDP","214",""
"107","2.145931","172.168.1.44","10.10.10.38","UDP","214",""
"108","2.166212","172.168.1.44","10.10.10.38","UDP","214",""
"109","2.186467","172.168.1.44","10.10.10.38","UDP","214",""
"110","2.206681","172.168.1.44","10.10.10.38","UDP","214",""
"111","2.226859","172.168.1.44","10.10.10.38","UDP","214",""
"112","2.247044","172.168.1.44","10.10.10.38","UDP","214",""
"113","2.267225","172.168.1.44","10.10.10.38","UDP","214",""
"114","2.287429","172.168.1.44","10.10.10.38","UDP","214",""
"115","2.307639","172.168.1.44","10.10.10.38","UDP","214",""
"116","2.327837","172.168.1.44","10.10.10.38","UDP","214",""
"117","2.348114","172.168.1.44","10.10.10.38","UDP","214",""
"118","2.368355","172.168.1.44","10.10.10.38","UDP","214",""
"119","2.388602","172.168.1.44","10.10.10.38","UDP","214",""
"120","2.408825","172.168.1.44","10.10.10.38","UDP","214",""
"121","2.429015","172.168.1.44","10.10.10.38","UDP","214",""
"122","2.449204","172.168.1.44","10.10.10.38","UDP","214",""
"123","2.469385","172.168.1.44","10.10.10.38","UDP","214",""
"124","2.489569","172.168.1.44","10.10.10.38","UDP","214",""
"125","2.509882","172.168.1.44","10.10.10.38","UDP","214",""
"126","2.530173","172.168.1.44","10.10.10.38","UDP","214",""
"127","2.550390","172.168.1.44","10.10.10.38","UDP","214",""
"128","2.570603","172.168.1.44","10.10.10.38","UDP","214",""
"129","2.590865","172.168.1.44","10.10.10.38","UDP","214",""
"130","2.611077","172.168.1.44","10.10.10.38","UDP","214",""
"131","2.631285","172.168.1.44","10.10.10.38","UDP","214",""
"132","2.651497","172.168.1.44","10.10.10.38","UDP","214",""
"133","2.671756","172.168.1.44","10.10.10.38","UDP","214",""
"134","2.692019","172.168.1.44","10.10.10.38","UDP","214",""
"135","2.712231","172.168.1.44","10.10.10.38","UDP","214",""
"136","2.732406","172.168.1.44","10.10.10.38","UDP","214",""
"137","2.752635","172.168.1.44","10.10.10.38","UDP","214",""
"138","2.772908","172.168.1.44","10.10.10.38","UDP","214",""
"139","2.793128","172.168.1.44","10.10.10.38","UDP","214",""
"140","2.813335","172.168.1.44","10.10.10.38","UDP","214",""
"141","2.833569","172.168.1.44","10.10.10.38","UDP","214",""
"142","2.853833","172.168.1.44","10.10.10.38","UDP","214",""
"143","2.874086","172.168.1.44","10.10.10.38","UDP","214",""
"144","2.894324","172.168.1.44","10.10.10.38","UDP","214",""
"145","2.914536","172.168.1.44","10.10.10.38","UDP","214",""
"146","2.934767","172.168.1.44","10.10.10.38","UDP","214",""
"147","2.954950","172.168.1.44","10.10.10.38","UDP","214",""
"148","2.975136","172.168.1.44","10.10.10.38","UDP","214",""
"149","2.995331","172.168.1.44","10.10.10.38","UDP","214",""
"150","3.015642","172.168.1.44","10.10.10.38","UDP","214",""
"151","3.035889","172.168.1.44","10.10.10.38","UDP","214",""
"152","3.056114","172.168.1.44","10.10.10.38","UDP","214",""
"153","3.076319","172.168.1.44","10.10.10.38","UDP","214",""
"154","3.096526","172.168.1.44","10.10.10.38","UDP","214",""
"155","3.116769","172.168.1.44","10.10.10.38","UDP","214",""
"156","3.137025","172.168.1.44","10.10.10.38","UDP","214",""
"157","3.157320","172.168.1.44","10.10.10.38","UDP","214",""
"158","3.177617","172.168.1.44","10.10.10.38","UDP","214",""
"159","3.197847","172.168.1.44","10.10.10.38","UDP","214",""
"160","3.218204","172.168.1.44","10.10.10.38","UDP","214",""
"161","3.238461","172.168.1.44","10.10.10.38","UDP","214",""
"162","3.258635","172.168.1.44","10.10.10.38","UDP","214",""
"163","3.278840","172.168.1.44","10.10.10.38","UDP","214",""
"164","3.299058","172.168.1.44","10.10.10.38","UDP","214",""
"165","3.319253","172.168.1.44","10.10.10.38","UDP","214",""
"166","3.339436","172.168.1.44","10.10.10.38","UDP","214",""
"167","3.359604","172.168.1.44","10.10.10.38","UDP","214",""
"168","3.379773","172.168.1.44","10.10.10.38","UDP","214",""
"169","3.399952","172.168.1.44","10.10.10.38","UDP","214",""
"170","3.420124","172.168.1.44","10.10.10.38","UDP","214",""
"171","3.440310","172.168.1.44","10.10.10.38","UDP","214",""
"172","3.460493","172.168.1.44","10.10.10.38","UDP","214",""
"173","3.480679","172.168.1.44","10.10.10.38","UDP","214",""
"174","3.500883","172.168.1.44","10.10.10.38","UDP","214",""
"175","3.521084","172.168.1.44","10.10.10.38","UDP","214",""
"176","3.541253","172.168.1.44","10.10.10.38","UDP","214",""
"177","3.561444","172.168.1.44","10.10.10.38","UDP","214",""
"178","3.581608","172.168.1.44","10.10.10.38","UDP","214",""
"179","3.601798","172.168.1.44","10.10.10.38","UDP","214",""
"180","3.622053","172.168.1.44","10.10.10.38","UDP","214",""
"181","3.642280","172.168.1.44","10.10.10.38","UDP","214",""
"182","3.662464","172.168.1.44","10.10.10.38","UDP","214",""
"183","3.682643","172.168.1.44","10.10.10.38","UDP","214",""
"184","3.702830","172.168.1.44","10.10.10.38","UDP","214",""
"185","3.723002","172.168.1.44","10.10.10.38","UDP","214",""
"186","3.743170","172.168.1.44","10.10.10.38","UDP","214",""
"187","3.763344","172.168.1.44","10.10.10.38","UDP","214",""
"188","3.783512","172.168.1.44","10.10.10.38","UDP","214",""
"189","3.803690","172.168.1.44","10.10.10.38","UDP","214",""
"190","3.823855","172.168.1.44","10.10.10.38","UDP","214",""
"191","3.844054","172.168.1.44","10.10.10.38","UDP","214",""
"192","3.864262","172.168.1.44","10.10.10.38","UDP","214",""
"193","3.884449","172.168.1.44","10.10.10.38","UDP","214",""
"194","3.904612","172.168.1.44","10.10.10.38","UDP","214",""
"195","3.924797","172.168.1.44","10.10.10.38","UDP","214",""
"196","3.944976","172.168.1.44","10.10.10.38","UDP","214",""
"197","3.965156","172.168.1.44","10.10.10.38","UDP","214",""
"198","3.985329","172.168.1.44","10.10.10.38","UDP","214",""
"199","4.005494","172.168.1.44","10.10.10.38","UDP","214",""
"200","4.025682","172.168.1.44","10.10.10.38","UDP","214",""
"201","4.045851","172.168.1.44","10.10.10.38","UDP","214",""
"202","4.066009","172.168.1.44","10.10.10.38","UDP","214",""
"203","4.086199","172.168.1.44","10.10.10.38","UDP","214",""
"204","4.106384","172.168.1.44","10.10.10.38","UDP","214",""
"205","4.126956","172.168.1.44","10.10.10.38","UDP","214",""
"206","4.147125","172.168.1.44","10.10.10.38","UDP","214",""
"207","4.167297","172.168.1.44","10.10.10.38","UDP","214",""
"208","4.187460","172.168.1.44","10.10.10.38","UDP","214",""
"209","4.207649","172.168.1.44","10.10.10.38","UDP","214",""
"210","4.227852","172.168.1.44","10.10.10.38","UDP","214",""
"211","4.248044","172.168.1.44","10.10.10.38","UDP","214",""
"212","4.268248","172.168.1.44","10.10.10.38","UDP","214",""
"213","4.288469","172.168.1.44","10.10.10.38","UDP","214",""
"214","4.308649","172.168.1.44","10.10.10.38","UDP","214",""
"215","4.328822","172.168.1.44","10.10.10.38","UDP","214",""
"216","4.349016","172.168.1.44","10.10.10.38","UDP","214",""
"217","4.369205","172.168.1.44","10.10.10.38","UDP","214",""
"218","4.389410","172.168.1.44","10.10.10.38","UDP","214",""
"219","4.409581","172.168.1.44","10.10.10.38","UDP","214",""
"220","4.429756","172.168.1.44","10.10.10.38","UDP","214",""
"221","4.449931","172.168.1.44","10.10.10.38","UDP","214",""
"222","4.470098","172.168.1.44","10.10.10.38","UDP","214",""
"223","4.490284","172.168.1.44","10.10.10.38","UDP","214",""
"224","4.510474","172.168.1.44","10.10.10.38","UDP","214",""
"225","4.530677","172.168.1.44","10.10.10.38","UDP","214",""
"226","4.550838","172.168.1.44","10.10.10.38","UDP","214",""
"227","4.570992","172.168.1.44","10.10.10.38","UDP","214",""
"228","4.591162","172.168.1.44","10.10.10.38","UDP","214",""
"229","4.611338","172.168.1.44","10.10.10.38","UDP","214",""
"230","4.631558","172.168.1.44","10.10.10.38","UDP","214",""
"231","4.651766","172.168.1.44","10.10.10.38","UDP","214",""
"232","4.671980","172.168.1.44","10.10.10.38","UDP","214",""
"233","4.692175","172.168.1.44","10.10.10.38","UDP","214",""
"234","4.712368","172.168.1.44","10.10.10.38","UDP","214",""
"235","4.732516","172.168.1.44","10.10.10.38","UDP","214",""
"236","4.752663","172.168.1.44","10.10.10.38","UDP","214",""
"237","4.772871","172.168.1.44","10.10.10.38","UDP","214",""
"238","4.793072","172.168.1.44","10.10.10.38","UDP","214",""
"239","4.813267","172.168.1.44","10.10.10.38","UDP","214",""
"240","4.833449","172.168.1.44","10.10.10.38","UDP","214",""
"241","4.853635","172.168.1.44","10.10.10.38","UDP","214",""
"242","4.873812","172.168.1.44","10.10.10.38","UDP","214",""
"243","4.893993","172.168.1.44","10.10.10.38","UDP","214",""
"244","4.914156","172.168.1.44","10.10.10.38","UDP","214",""
"245","4.934319","172.168.1.44","10.10.10.38","UDP","214",""
"246","4.954519","172.168.1.44","10.10.10.38","UDP","214",""
"247","4.974699","172.168.1.44","10.10.10.38","UDP","214",""
"248","4.994907","172.168.1.44","10.10.10.38","UDP","214",""
"249","5.015118","172.168.1.44","10.10.10.38","UDP","214",""
"250","5.035266","172.168.1.44","10.10.10.38","UDP","214",""
"251","5.055454","172.168.1.44","10.10.10.38","UDP","214",""
"252","5.075619","172.168.1.44","10.10.10.38","UDP","214",""
"253","5.095795","172.168.1.44","10.10.10.38","UDP","214",""
"254","5.115970","172.168.1.44","10.10.10.38","UDP","214",""
"255","5.136155","172.168.1.44","10.10.10.38","UDP","214",""
"256","5.156310","172.168.1.44","10.10.10.38","UDP","214",""
"257","5.176490","172.168.1.44","10.10.10.38","UDP","214",""
"258","5.196657","172.168.1.44","10.10.10.38","UDP","214",""
"259","5.216809","172.168.1.44","10.10.10.38","UDP","214",""
"260","5.236985","172.168.1.44","10.10.10.38","UDP","214",""
"261","5.257155","172.168.1.44","10.10.10.38","UDP","214",""
"262","5.277332","172.168.1.44","10.10.10.38","UDP","214",""
"263","5.297525","172.168.1.44","10.10.10.38","UDP","214",""
"264","5.317705","172.168.1.44","10.10.10.38","UDP","214",""
"265","5.337880","172.168.1.44","10.10.10.38","UDP","214",""
"266","5.358065","172.168.1.44","10.10.10.38","UDP","214",""
"267","5.378231","172.168.1.44","10.10.10.38","UDP","214",""
"268","5.398433","172.168.1.44","10.10.10.38","UDP","214",""
"269","5.418613","172.168.1.44","10.10.10.38","UDP","214",""
"270","5.438783","172.168.1.44","10.10.10.38","UDP","214",""
"271","5.458933","172.168.1.44","10.10.10.38","UDP","214",""
"272","5.479107","172.168.1.44","10.10.10.38","UDP","214",""
"273","5.499313","172.168.1.44","10.10.10.38","UDP","214",""
"274","5.519494","172.168.1.44","10.10.10.38","UDP","214",""
"275","5.539677","172.168.1.44","10.10.10.38","UDP","214",""
"276","5.559842","172.168.1.44","10.10.10.38","UDP","214",""
"277","5.580025","172.168.1.44","10.10.10.38","UDP","214",""
"278","5.600208","172.168.1.44","10.10.10.38","UDP","214",""
"279","5.620383","172.168.1.44","10.10.10.38","UDP","214",""
"280","5.640570","172.168.1.44","10.10.10.38","UDP","214",""
"281","5.660759","172.168.1.44","10.10.10.38","UDP","214",""
"282","5.680965","172.168.1.44","10.10.10.38","UDP","214",""
"283","5.701140","172.168.1.44","10.10.10.38","UDP","214",""
"284","5.721316","172.168.1.44","10.10.10.38","UDP","214",""
"285","5.741493","172.168.1.44","10.10.10.38","UDP","214",""
"286","5.761647","172.168.1.44","10.10.10.38","UDP","214",""
"287","5.781850","172.168.1.44","10.10.10.38","UDP","214",""
"288","5.802035","172.168.1.44","10.10.10.38","UDP","214",""
"289","5.822184","172.168.1.44","10.10.10.38","UDP","214",""
"290","5.842379","172.168.1.44","10.10.10.38","UDP","214",""
"291","5.862551","172.168.1.44","10.10.10.38","UDP","214",""
"292","5.882745","172.168.1.44","10.10.10.38","UDP","214",""
"293","5.902920","172.168.1.44","10.10.10.38","UDP","214",""
"294","5.923086","172.168.1.44","10.10.10.38","UDP","214",""
"295","5.943262","172.168.1.44","10.10.10.38","UDP","214",""
"296","5.963455","172.168.1.44","10.10.10.38","UDP","214",""
"297","5.983653","172.168.1.44","10.10.10.38","UDP","214",""
"298","6.003849","172.168.1.44","10.10.10.38","UDP","214",""
"299","6.024038","172.168.1.44","10.10.10.38","UDP","214",""
"300","6.044212","172.168.1.44","10.10.10.38","UDP","214",""
"301","6.064374","172.168.1.44","10.10.10.38","UDP","214",""
"302","6.084543","172.168.1.44","10.10.10.38","UDP","214",""
"303","6.104724","172.168.1.44","10.10.10.38","UDP","214",""
"304","6.124921","172.168.1.44","10.10.10.38","UDP","214",""
"305","6.145129","172.168.1.44","10.10.10.38","UDP","214",""
"306","6.165318","172.168.1.44","10.10.10.38","UDP","214",""
"307","6.185491","172.168.1.44","10.10.10.38","UDP","214",""
"308","6.205656","172.168.1.44","10.10.10.38","UDP","214",""
"309","6.225864","172.168.1.44","10.10.10.38","UDP","214",""
"310","6.246052","172.168.1.44","10.10.10.38","UDP","214",""
"311","6.266251","172.168.1.44","10.10.10.38","UDP","214",""
"312","6.286457","172.168.1.44","10.10.10.38","UDP","214",""
"313","6.306649","172.168.1.44","10.10.10.38","UDP","214",""
"314","6.326834","172.168.1.44","10.10.10.38","UDP","214",""
"315","6.347045","172.168.1.44","10.10.10.38","UDP","214",""
"316","6.367228","172.168.1.44","10.10.10.38","UDP","214",""
"317","6.387390","172.168.1.44","10.10.10.38","UDP","214",""
"318","6.407561","172.168.1.44","10.10.10.38","UDP","214",""
"319","6.427748","172.168.1.44","10.10.10.38","UDP","214",""
"320","6.447928","172.168.1.44","10.10.10.38","UDP","214",""
