"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.168.1.44","10.10.10.22","UDP","214",""
"2","0.020216","172.168.1.44","10.10.10.22","UDP","214",""
"3","0.040524","172.168.1.44","10.10.10.22","UDP","214",""
"4","0.060748","172.168.1.44","10.10.10.22","UDP","214",""
"5","0.080975","172.168.1.44","10.10.10.22","UDP","214",""
"6","0.101181","172.168.1.44","10.10.10.22","UDP","214",""
"7","0.121393","172.168.1.44","10.10.10.22","UDP","214",""
"8","0.141606","172.168.1.44","10.10.10.22","UDP","214",""
"9","0.161847","172.168.1.44","10.10.10.22","UDP","214",""
"10","0.182122","172.168.1.44","10.10.10.22","UDP","214",""
"11","0.202329","172.168.1.44","10.10.10.22","UDP","214",""
"12","0.222508","172.168.1.44","10.10.10.22","UDP","214",""
"13","0.242711","172.168.1.44","10.10.10.22","UDP","214",""
"14","0.262919","172.168.1.44","10.10.10.22","UDP","214",""
"15","0.283143","172.168.1.44","10.10.10.22","UDP","214",""
"16","0.303397","172.168.1.44","10.10.10.22","UDP","214",""
"17","0.323633","172.168.1.44","10.10.10.22","UDP","214",""
"18","0.343862","172.168.1.44","10.10.10.22","UDP","214",""
"19","0.364078","172.168.1.44","10.10.10.22","UDP","214",""
"20","0.384283","172.168.1.44","10.10.10.22","UDP","214",""
"21","0.404481","172.168.1.44","10.10.10.22","UDP","214",""
"22","0.424680","172.168.1.44","10.10.10.22","UDP","214",""
"23","0.444909","172.168.1.44","10.10.10.22","UDP","214",""
"24","0.465152","172.168.1.44","10.10.10.22","UDP","214",""
"25","0.485393","172.168.1.44","10.10.10.22","UDP","214",""
"26","0.505667","172.168.1.44","10.10.10.22","UDP","214",""
"27","0.525897","172.168.1.44","10.10.10.22","UDP","214",""
"28","0.546123","172.168.1.44","10.10.10.22","UDP","214",""
"29","0.566342","172.168.1.44","10.10.10.22","UDP","214",""
"30","0.586540","172.168.1.44","10.10.10.22","UDP","214",""
"31","0.606752","172.168.1.44","10.10.10.22","UDP","214",""
"32","0.626949","172.168.1.44","10.10.10.22","UDP","214",""
"33","0.647182","172.168.1.44","10.10.10.22","UDP","214",""
"34","0.667424","172.168.1.44","10.10.10.22","UDP","214",""
"35","0.687663","172.168.1.44","10.10.10.22","UDP","214",""
"36","0.707879","172.168.1.44","10.10.10.22","UDP","214",""
"37","0.728107","172.168.1.44","10.10.10.22","UDP","214",""
"38","0.748353","172.168.1.44","10.10.10.22","UDP","214",""
"39","0.768550","172.168.1.44","10.10.10.22","UDP","214",""
"40","0.788751","172.168.1.44","10.10.10.22","UDP","214",""
"41","0.808955","172.168.1.44","10.10.10.22","UDP","214",""
"42","0.829193","172.168.1.44","10.10.10.22","UDP","214",""
"43","0.849378","172.168.1.44","10.10.10.22","UDP","214",""
"44","0.869579","172.168.1.44","10.10.10.22","UDP","214",""
"45","0.889793","172.168.1.44","10.10.10.22","UDP","214",""
"46","0.910013","172.168.1.44","10.10.10.22","UDP","214",""
"47","0.930213","172.168.1.44","10.10.10.22","UDP","214",""
"48","0.950413","172.168.1.44","10.10.10.22","UDP","214",""
"49","0.970651","172.168.1.44","10.10.10.22","UDP","214",""
"50","0.990911","172.168.1.44","10.10.10.22","UDP","214",""
"51","1.011152","172.168.1.44","10.10.10.22","UDP","214",""
"52","1.031396","172.168.1.44","10.10.10.22","UDP","214",""
"53","1.051648","172.168.1.44","10.10.10.22","UDP","214",""
"54","1.071904","172.168.1.44","10.10.10.22","UDP","214",""
"55","1.092152","172.168.1.44","10.10.10.22","UDP","214",""
"56","1.112345","172.168.1.44","10.10.10.22","UDP","214",""
"57","1.132559","172.168.1.44","10.10.10.22","UDP","214",""
"58","1.152795","172.168.1.44","10.10.10.22","UDP","214",""
"59","1.173009","172.168.1.44","10.10.10.22","UDP","214",""
"60","1.193245","172.168.1.44","10.10.10.22","UDP","214",""
"61","1.213516","172.168.1.44","10.10.10.22","UDP","214",""
"62","1.233770","172.168.1.44","10.10.10.22","UDP","214",""
"63","1.253988","172.168.1.44","10.10.10.22","UDP","214",""
"64","1.274194","172.168.1.44","10.10.10.22","UDP","214",""
"65","1.294410","172.168.1.44","10.10.10.22","UDP","214",""
"66","1.314640","172.168.1.44","10.10.10.22","UDP","214",""
"67","1.334863","172.168.1.44","10.10.10.22","UDP","214",""
"68","1.355066","172.168.1.44","10.10.10.22","UDP","214",""
"69","1.375302","172.168.1.44","10.10.10.22","UDP","214",""
"70","1.395510","172.168.1.44","10.10.10.22","UDP","214",""
"71","1.415717","172.168.1.44","10.10.10.22","UDP","214",""
"72","1.435933","172.168.1.44","10.10.10.22","UDP","214",""
"73","1.456139","172.168.1.44","10.10.10.22","UDP","214",""
"74","1.476346","172.168.1.44","10.10.10.22","UDP","214",""
"75","1.496596","172.168.1.44","10.10.10.22","UDP","214",""
"76","1.516805","172.168.1.44","10.10.10.22","UDP","214",""
"77","1.537042","172.168.1.44","10.10.10.22","UDP","214",""
"78","1.557282","172.168.1.44","10.10.10.22","UDP","214",""
"79","1.577473","172.168.1.44","10.10.10.22","UDP","214",""
"80","1.597668","172.168.1.44","10.10.10.22","UDP","214",""
"81","1.617877","172.168.1.44","10.10.10.22","UDP","214",""
"82","1.638085","172.168.1.44","10.10.10.22","UDP","214",""
"83","1.658330","172.168.1.44","10.10.10.22","UDP","214",""
"84","1.678585","172.168.1.44","10.10.10.22","UDP","214",""
"85","1.698863","172.168.1.44","10.10.10.22","UDP","214",""
"86","1.719122","172.168.1.44","10.10.10.22","UDP","214",""
"87","1.739364","172.168.1.44","10.10.10.22","UDP","214",""
"88","1.759603","172.168.1.44","10.10.10.22","UDP","214",""
"89","1.779877","172.168.1.44","10.10.10.22","UDP","214",""
"90","1.800132","172.168.1.44","10.10.10.22","UDP","214",""
"91","1.820353","172.168.1.44","10.10.10.22","UDP","214",""
"92","1.840550","172.168.1.44","10.10.10.22","UDP","214",""
"93","1.860787","172.168.1.44","10.10.10.22","UDP","214",""
"94","1.881051","172.168.1.44","10.10.10.22","UDP","214",""
"95","1.901284","172.168.1.44","10.10.10.22","UDP","214",""
"96","1.921499","172.168.1.44","10.10.10.22","UDP","214",""
"97","1.941754","172.168.1.44","10.10.10.22","UDP","214",""
"98","1.961957","172.168.1.44","10.10.10.22","UDP","214",""
"99","1.982170","172.168.1.44","10.10.10.22","UDP","214",""
"100","2.002370","172.168.1.44","10.10.10.22","UDP","214",""
"101","2.022600","172.168.1.44","10.10.10.22","UDP","214",""
"102","2.042790","172.168.1.44","10.10.10.22","UDP","214",""
"103","2.062960","172.168.1.44","10.10.10.22","UDP","214",""
"104","2.083169","172.168.1.44","10.10.10.22","UDP","214",""
"105","2.103380","172.168.1.44","10.10.10.22","UDP","214",""
"106","2.123585","172.168.1.44","10.10.10.22","UDP","214",""
"107","2.143776","172.168.1.44","10.10.10.22","UDP","214",""
"108","2.164003","172.168.1.44","10.10.10.22","UDP","214",""
"109","2.184203","172.168.1.44","10.10.10.22","UDP","214",""
"110","2.204414","172.168.1.44","10.10.10.22","UDP","214",""
"111","2.224696","172.168.1.44","10.10.10.22","UDP","214",""
"112","2.244897","172.168.1.44","10.10.10.22","UDP","214",""
"113","2.265107","172.168.1.44","10.10.10.22","UDP","214",""
"114","2.285325","172.168.1.44","10.10.10.22","UDP","214",""
"115","2.305516","172.168.1.44","10.10.10.22","UDP","214",""
"116","2.325736","172.168.1.44","10.10.10.22","UDP","214",""
"117","2.345969","172.168.1.44","10.10.10.22","UDP","214",""
"118","2.366189","172.168.1.44","10.10.10.22","UDP","214",""
"119","2.386399","172.168.1.44","10.10.10.22","UDP","214",""
"120","2.406578","172.168.1.44","10.10.10.22","UDP","214",""
"121","2.426773","172.168.1.44","10.10.10.22","UDP","214",""
"122","2.447070","172.168.1.44","10.10.10.22","UDP","214",""
"123","2.467319","172.168.1.44","10.10.10.22","UDP","214",""
"124","2.487570","172.168.1.44","10.10.10.22","UDP","214",""
"125","2.507800","172.168.1.44","10.10.10.22","UDP","214",""
"126","2.528000","172.168.1.44","10.10.10.22","UDP","214",""
"127","2.548198","172.168.1.44","10.10.10.22","UDP","214",""
"128","2.568411","172.168.1.44","10.10.10.22","UDP","214",""
"129","2.588643","172.168.1.44","10.10.10.22","UDP","214",""
"130","2.608847","172.168.1.44","10.10.10.22","UDP","214",""
"131","2.629098","172.168.1.44","10.10.10.22","UDP","214",""
"132","2.649309","172.168.1.44","10.10.10.22","UDP","214",""
"133","2.669533","172.168.1.44","10.10.10.22","UDP","214",""
"134","2.689770","172.168.1.44","10.10.10.22","UDP","214",""
"135","2.709989","172.168.1.44","10.10.10.22","UDP","214",""
"136","2.730220","172.168.1.44","10.10.10.22","UDP","214",""
"137","2.750494","172.168.1.44","10.10.10.22","UDP","214",""
"138","2.770772","172.168.1.44","10.10.10.22","UDP","214",""
"139","2.791048","172.168.1.44","10.10.10.22","UDP","214",""
"140","2.811337","172.168.1.44","10.10.10.22","UDP","214",""
"141","2.831555","172.168.1.44","10.10.10.22","UDP","214",""
"142","2.851744","172.168.1.44","10.10.10.22","UDP","214",""
"143","2.871969","172.168.1.44","10.10.10.22","UDP","214",""
"144","2.892166","172.168.1.44","10.10.10.22","UDP","214",""
"145","2.912401","172.168.1.44","10.10.10.22","UDP","214",""
"146","2.932639","172.168.1.44","10.10.10.22","UDP","214",""
"147","2.952852","172.168.1.44","10.10.10.22","UDP","214",""
"148","2.973064","172.168.1.44","10.10.10.22","UDP","214",""
"149","2.993297","172.168.1.44","10.10.10.22","UDP","214",""
"150","3.013476","172.168.1.44","10.10.10.22","UDP","214",""
"151","3.033717","172.168.1.44","10.10.10.22","UDP","214",""
"152","3.053882","172.168.1.44","10.10.10.22","UDP","214",""
"153","3.074137","172.168.1.44","10.10.10.22","UDP","214",""
"154","3.094339","172.168.1.44","10.10.10.22","UDP","214",""
"155","3.114543","172.168.1.44","10.10.10.22","UDP","214",""
"156","3.134794","172.168.1.44","10.10.10.22","UDP","214",""
"157","3.155016","172.168.1.44","10.10.10.22","UDP","214",""
"158","3.175225","172.168.1.44","10.10.10.22","UDP","214",""
"159","3.195433","172.168.1.44","10.10.10.22","UDP","214",""
"160","3.215667","172.168.1.44","10.10.10.22","UDP","214",""
"161","3.235917","172.168.1.44","10.10.10.22","UDP","214",""
"162","3.256128","172.168.1.44","10.10.10.22","UDP","214",""
"163","3.276332","172.168.1.44","10.10.10.22","UDP","214",""
"164","3.296550","172.168.1.44","10.10.10.22","UDP","214",""
"165","3.316747","172.168.1.44","10.10.10.22","UDP","214",""
